peg_x,peg_y,success
0.230800,0.118043,1
0.230800,0.118043,1
0.230800,0.118043,0
0.230800,0.118043,0
0.230800,0.118043,1
0.230800,0.118043,0
0.230800,0.118043,0
0.230800,0.118043,1
0.230800,0.118043,0
0.230800,0.118043,0
0.230800,0.118043,1
0.230800,0.118043,1
0.159022,-0.094462,1
0.159022,-0.094462,0
0.159022,-0.094462,0
0.159022,-0.094462,0
0.159022,-0.094462,0
0.159022,-0.094462,0
0.159022,-0.094462,0
0.159022,-0.094462,0
0.159022,-0.094462,0
0.159022,-0.094462,0
0.159022,-0.094462,0
0.159022,-0.094462,0
0.159022,-0.094462,0
0.159022,-0.094462,0
0.159022,-0.094462,0
0.159022,-0.094462,0
0.159022,-0.094462,0
0.159022,-0.094462,1
0.159022,-0.094462,0
0.159022,-0.094462,0
0.159022,-0.094462,0
0.159022,-0.094462,0
0.159022,-0.094462,0
0.159022,-0.094462,0
0.159022,-0.094462,0
0.159022,-0.094462,0
0.159022,-0.094462,0
0.159022,-0.094462,0
0.159022,-0.094462,0
0.159022,-0.094462,0
0.159022,-0.094462,0
0.159022,-0.094462,0
0.159022,-0.094462,1
0.159022,-0.094462,0
0.159022,-0.094462,0
0.159022,-0.094462,0
0.159022,-0.094462,0
0.159022,-0.094462,1
0.159022,-0.094462,0
0.159022,-0.094462,0
0.159022,-0.094462,0
0.159022,-0.094462,1
0.159022,-0.094462,0
0.159022,-0.094462,0
0.159022,-0.094462,0
0.159022,-0.094462,0
0.159022,-0.094462,0
0.159022,-0.094462,0
0.208781,0.050064,0
0.208781,0.050064,0
0.208781,0.050064,0
0.208781,0.050064,0
0.208781,0.050064,0
0.208781,0.050064,0
0.208781,0.050064,0
0.208781,0.050064,0
0.208781,0.050064,0
0.208781,0.050064,0
0.208781,0.050064,0
0.208781,0.050064,0
0.208781,0.050064,0
0.208781,0.050064,0
0.208781,0.050064,0
0.208781,0.050064,0
0.208781,0.050064,0
0.208781,0.050064,0
0.208781,0.050064,0
0.208781,0.050064,0
0.208781,0.050064,0
0.208781,0.050064,0
0.208781,0.050064,0
0.208781,0.050064,0
0.208781,0.050064,0
0.208781,0.050064,0
0.208781,0.050064,0
0.208781,0.050064,0
0.208781,0.050064,0
0.208781,0.050064,0
0.208781,0.050064,0
0.208781,0.050064,0
0.208781,0.050064,0
0.208781,0.050064,0
0.208781,0.050064,0
0.208781,0.050064,0
0.208781,0.050064,0
0.208781,0.050064,0
0.208781,0.050064,0
0.208781,0.050064,0
0.208781,0.050064,0
0.208781,0.050064,0
0.208781,0.050064,0
0.208781,0.050064,0
0.208781,0.050064,0
0.208781,0.050064,0
0.208781,0.050064,0
0.208781,0.050064,0
0.187305,-0.107675,0
0.187305,-0.107675,0
0.187305,-0.107674,0
0.187305,-0.107674,0
0.187305,-0.107674,0
0.187305,-0.107675,0
0.187305,-0.107675,0
0.187305,-0.107675,0
0.187305,-0.107675,0
0.187305,-0.107674,0
0.187305,-0.107674,0
0.187305,-0.107674,0
0.187305,-0.107675,0
0.187305,-0.107675,0
0.187305,-0.107675,0
0.187305,-0.107675,0
0.187305,-0.107674,0
0.187305,-0.107674,0
0.187305,-0.107674,0
0.187305,-0.107675,0
0.187305,-0.107675,0
0.187306,-0.107675,0
0.187306,-0.107675,0
0.187306,-0.107674,0
0.187306,-0.107674,0
0.187306,-0.107674,0
0.187306,-0.107675,0
0.187306,-0.107675,0
0.187305,-0.107675,0
0.187305,-0.107675,0
0.187305,-0.107674,0
0.187305,-0.107674,0
0.187305,-0.107674,0
0.187305,-0.107675,0
0.187305,-0.107675,0
0.187305,-0.107675,0
0.187305,-0.107675,0
0.187305,-0.107674,0
0.187305,-0.107674,0
0.187305,-0.107674,0
0.187305,-0.107675,0
0.187305,-0.107675,0
0.187305,-0.107675,0
0.187305,-0.107675,0
0.187305,-0.107674,0
0.187305,-0.107674,0
0.187305,-0.107674,0
0.187305,-0.107675,0
0.172501,0.099026,0
