peg_x,peg_y,success,file,demo,radial,depth,upright
0.22350,0.10678,0,gen_skillgen_sart_failed.hdf5,demo_36,0.09598,0.00000,0.0000
0.22350,0.10678,0,gen_skillgen_sart_failed.hdf5,demo_37,0.01023,0.01079,0.8760
0.22350,0.10678,0,gen_skillgen_sart_failed.hdf5,demo_38,0.01103,0.01451,0.7428
0.22350,0.10678,0,gen_skillgen_sart_failed.hdf5,demo_39,0.01053,0.01593,0.6720
0.22371,-0.08085,0,gen_skillgen_sart_failed.hdf5,demo_4,0.01127,0.00919,0.9912
0.22350,0.10678,0,gen_skillgen_sart_failed.hdf5,demo_40,0.01946,0.00000,0.2939
0.22350,0.10678,0,gen_skillgen_sart_failed.hdf5,demo_41,0.09309,0.00000,-0.0000
0.11634,0.01335,0,gen_skillgen_sart_failed.hdf5,demo_42,0.09582,0.00000,0.0000
0.11634,0.01335,0,gen_skillgen_sart_failed.hdf5,demo_43,0.09545,0.00000,0.0000
0.11634,0.01335,0,gen_skillgen_sart_failed.hdf5,demo_44,0.01105,0.01572,0.9987
0.11634,0.01335,0,gen_skillgen_sart_failed.hdf5,demo_45,0.01807,0.00000,0.8959
0.11634,0.01335,0,gen_skillgen_sart_failed.hdf5,demo_46,0.09190,0.00000,0.9903
0.11634,0.01335,0,gen_skillgen_sart_failed.hdf5,demo_47,0.07342,0.00000,0.0000
0.11634,0.01335,0,gen_skillgen_sart_failed.hdf5,demo_48,0.06776,0.00000,0.9947
0.11634,0.01335,0,gen_skillgen_sart_failed.hdf5,demo_49,0.07744,0.00000,-0.9546
0.22371,-0.08085,0,gen_skillgen_sart_failed.hdf5,demo_5,0.01138,0.01502,0.6931
0.11634,0.01335,0,gen_skillgen_sart_failed.hdf5,demo_50,0.07242,0.00000,-0.9948
0.11634,0.01335,0,gen_skillgen_sart_failed.hdf5,demo_51,0.10426,0.00000,-0.0000
0.11634,0.01335,0,gen_skillgen_sart_failed.hdf5,demo_52,0.07087,0.00000,0.0000
0.11634,0.01335,0,gen_skillgen_sart_failed.hdf5,demo_53,0.06551,0.00000,-0.3070
0.11634,0.01335,0,gen_skillgen_sart_failed.hdf5,demo_54,0.07096,0.00000,0.0000
0.11634,0.01335,0,gen_skillgen_sart_failed.hdf5,demo_55,0.01178,0.00726,0.9757
0.08649,-0.02440,0,gen_skillgen_sart_failed.hdf5,demo_56,0.00784,0.00855,0.9725
0.08649,-0.02440,0,gen_skillgen_sart_failed.hdf5,demo_57,0.06811,0.00000,-0.9958
0.08649,-0.02440,0,gen_skillgen_sart_failed.hdf5,demo_58,0.00538,0.01111,0.9997
0.08649,-0.02440,0,gen_skillgen_sart_failed.hdf5,demo_59,0.08035,0.00000,-0.9634
0.22371,-0.08085,0,gen_skillgen_sart_failed.hdf5,demo_6,0.01065,0.01336,1.0000
0.08649,-0.02440,0,gen_skillgen_sart_failed.hdf5,demo_60,0.00642,0.01016,0.9831
0.08649,-0.02440,0,gen_skillgen_sart_failed.hdf5,demo_61,0.05286,0.00000,-0.9998
0.08649,-0.02440,0,gen_skillgen_sart_failed.hdf5,demo_62,0.09669,0.00000,-0.0000
0.08649,-0.02440,0,gen_skillgen_sart_failed.hdf5,demo_63,0.01077,0.01484,0.9999
0.08649,-0.02440,0,gen_skillgen_sart_failed.hdf5,demo_64,0.00943,0.00654,0.9543
0.08649,-0.02440,0,gen_skillgen_sart_failed.hdf5,demo_65,0.06706,0.00000,-0.9915
0.08649,-0.02440,0,gen_skillgen_sart_failed.hdf5,demo_66,0.00748,0.00894,0.9805
0.08649,-0.02440,0,gen_skillgen_sart_failed.hdf5,demo_67,0.06315,0.00000,0.3610
0.08649,-0.02440,0,gen_skillgen_sart_failed.hdf5,demo_68,0.06853,0.00000,-0.5927
0.08649,-0.02440,0,gen_skillgen_sart_failed.hdf5,demo_69,0.06692,0.00000,0.9841
0.22371,-0.08085,0,gen_skillgen_sart_failed.hdf5,demo_7,0.01069,0.01466,0.7529
0.25121,0.00039,0,gen_skillgen_sart_failed.hdf5,demo_70,0.01146,0.01537,0.9964
0.25121,0.00039,0,gen_skillgen_sart_failed.hdf5,demo_71,0.01147,0.01516,0.9966
0.25121,0.00039,0,gen_skillgen_sart_failed.hdf5,demo_72,0.01050,0.01601,1.0000
